TEI,TEO,TCI,TCO,Evap.Tons,kW,TEA,TCA,TRE,PRE,TRC,PRC,TRC_sub,T_suc,Tsh_suc,TR_dis,Tsh_dis,TO_sump,fault,level
49.01,40.28,80.17,89.09,78.38,77.61,3.4,5.4,36.7,32.1,93.7,111.7,5.2,37.5,0.8,117.6,24.1,111.6,cf,4
46.8,40.97,80.7,86.88,52.39,58.03,3.8,4.7,36.9,32.2,91.5,107.2,6.4,39.8,2.9,123.2,31.2,111.8,cf,4
46.84,41.01,80.99,87.21,52.17,58.7,4,5,36.9,32.2,92,108.2,5.9,39.8,2.9,123.5,31.5,112,cf,4
46.76,40.89,80.91,87.13,52.81,57.97,3.6,5.2,37.1,32.2,92.2,108.7,6.2,39.8,2.9,123.2,31.3,112.2,cf,4
46.72,40.77,80.87,87.13,53.35,58.07,3.8,5.2,36.9,32.2,92,108.2,5.5,39.8,2.7,123.2,31.7,112.4,cf,4
46.64,40.77,80.91,87.13,52.44,57.91,3.6,5.2,36.9,32.2,92,108.2,6,39.8,2.7,123.5,31.2,112.4,cf,4
46.64,40.73,80.87,87.09,52.96,58.07,3.3,5,37.1,32.4,92,108.2,5.7,40.2,3.3,123,31.2,112.4,cf,4
44.22,40.93,79.96,83.81,29.14,43.21,3.1,2.3,37.6,32.9,86.9,97.3,4.7,40.4,2.8,135.3,48.7,114.7,cf,4
44.14,40.81,80.25,84.02,29.92,43.25,3.1,2.9,37.6,32.9,86.9,98.8,4.1,40.4,2.8,135,48.7,114.9,cf,4
44.14,40.77,80.25,84.1,30.22,43.26,2.8,2.9,37.7,33,86.9,98.8,3.9,40.5,2.8,134.7,48.7,114.9,cf,4
44.06,40.68,80.17,84.02,30.19,43.18,2.8,3.1,37.7,33,86.9,98.8,3.8,40.4,2.7,134.7,47.8,115.1,cf,4
43.97,40.56,80.13,83.93,30.42,43.25,2.7,2.5,37.7,33,86.3,97.8,4.6,40.4,2.7,135,48.7,115.3,cf,4
43.89,40.56,80.13,83.89,29.92,43.24,2.8,3.2,37.6,32.9,86.9,98.8,4.4,40.4,2.6,135,48.1,115.6,cf,4
43.85,40.48,80.09,83.89,30.31,43.19,2.7,2.8,37.7,33,86.3,98.3,4,40.2,2.5,134.7,48.4,115.6,cf,4
51.43,41.13,69.52,79.84,92.17,75.13,5.1,8.6,35.6,31.1,88.6,101.8,8.3,37.8,2.2,108.8,20.6,111.8,cf,4
51.3,40.81,69.73,80.25,93.89,76.57,5.1,8.4,35.4,30.9,88.6,101.8,8.6,37.1,1.7,109.6,20.3,110.9,cf,4
51.26,40.73,69.73,80.33,94.42,77.38,5.4,8.7,35.1,30.6,88.9,102.3,8.2,36.8,1.5,109.6,20.7,110.7,cf,4
51.22,40.64,69.77,80.37,94.8,78.08,5.1,8.7,35.4,30.9,89.1,102.8,8.2,36.7,1.4,109.6,20.7,110.5,cf,4
51.22,40.6,69.73,80.41,94.85,77.7,5.3,8.9,35.1,30.6,89.1,102.8,8.4,37,1.9,109.8,20.5,110.3,cf,4
51.14,40.56,69.69,80.33,94.7,77.78,5.3,8.5,35.3,30.8,88.9,102.3,8.2,37,1.9,109.8,20.9,110.3,cf,4
45.53,39.25,69.77,76.28,55.83,50.78,2.9,5.3,36.2,31.4,81.5,89.4,5.9,38.2,2.2,110.1,28.6,109.2,cf,4
45.29,38.96,69.77,76.28,56.31,50.95,2.7,5,36.2,31.6,81.3,88.4,5.7,37.5,1.5,109.8,28.3,109.2,cf,4
45.57,39.58,69.11,75.38,53.77,49.45,3.8,5,35.6,31.1,80.4,87.4,5.7,38.4,2.8,110.5,30.1,109,cf,4
45.37,39.21,69.44,75.79,55.04,49.84,3.1,5.4,36.2,31.6,81,88.4,6.1,38.2,2.2,109.6,28.8,109,cf,4
45.37,39.33,69.4,75.66,53.88,49.47,3.6,5.4,35.6,31.1,80.4,87.4,5.4,38.2,2.6,110.1,29.4,108.8,cf,4
43.12,40.11,69.52,72.88,26.79,35.97,2.9,3,37.2,32.5,75.7,79.9,3.8,39.9,2.7,127.7,51.7,113.6,cf,4
43.12,40.15,69.44,72.84,26.44,35.9,2.9,2.5,37.2,32.5,75,78.9,3.2,39.9,2.8,127.4,52.4,113.6,cf,4
43.07,40.15,69.52,72.88,26.11,35.91,2.9,2.9,37.1,32.4,75.7,79.9,3.6,40.1,2.7,127.7,52.2,113.8,cf,4
47.95,39.37,62.81,71.36,77.11,56.95,4.2,7.5,35,30.5,78.6,84.4,7.4,37.3,2.3,101.7,23.1,110.3,cf,4
47.82,39.33,62.77,71.28,76.39,57.17,4.4,6.8,34.7,30.3,77.9,83.4,7.4,37.1,2.1,101.7,23.8,109.6,cf,4
47.78,39.21,62.64,71.24,76.74,56.97,4.4,7.3,34.7,30.3,78.2,83.9,6.8,37.1,2.1,101.5,23.3,109.4,cf,4
47.66,39.13,62.6,71.12,76.26,56.69,4.1,7.3,34.7,30.5,78.2,83.9,7,37,2.1,101.7,23.1,108.8,cf,4
47.62,39.05,62.6,71.12,77.14,56.76,4.4,7.3,34.5,30.1,77.9,83.9,7,37.1,2.5,101.5,23.4,108.4,cf,4
47.58,39.17,62.44,70.83,75.22,56.2,3.8,7.3,35.3,30.8,77.9,83.4,7.1,37,1.7,101.1,23.4,108.4,cf,4
47.62,39.21,62.4,70.75,75.02,55.6,3.6,7,35.3,30.8,77.6,82.9,7.2,37.3,2.2,101.1,23.7,108.2,cf,4
47,40.73,64.53,70.95,56.6,46.97,4.9,4.9,35.6,31.1,76,79.9,5.7,39.1,3.5,105.7,29.7,107.5,cf,4
47.05,40.73,64.57,71,56.99,47.02,4.9,4.9,35.6,31.1,75.7,79.9,5.4,38.9,3.5,106.1,30.4,107.3,cf,4
47.09,40.77,64.61,71.08,56.58,47.2,5.1,5.1,35.6,31.1,76,80.4,5.3,38.9,3.5,106.1,30.4,107.5,cf,4
47.05,40.68,64.69,71.16,56.98,47.32,4.7,5.1,35.8,31.3,76,80.4,5.1,39.1,3.3,106.1,30.1,107.5,cf,4
47,40.64,64.69,71.16,57.2,47.28,4.9,4.9,35.8,31.3,76,80.4,5.5,39.1,3.5,106.1,30.1,107.7,cf,4
47.05,40.68,64.77,71.24,56.83,47.32,4.9,5.4,35.6,31.1,76,80.4,5.4,39.1,3.5,106.1,30.1,107.7,cf,4
47.05,40.68,64.81,71.28,56.85,47.37,4.7,5.2,35.8,31.3,76,80.9,5.2,39.1,3.3,106.1,30.1,107.7,cf,4
47.09,40.73,64.86,71.28,56.87,47.32,4.5,4.9,36,31.4,76,80.4,5.7,39.1,3.1,106.1,29.8,107.7,cf,4
47.09,40.73,64.86,71.32,56.86,47.53,4.9,5.1,35.6,31.1,76.3,80.9,5.4,39.2,3.6,106.3,30,107.7,cf,4
47.17,40.81,64.94,71.41,56.65,47.49,4.9,5.2,35.8,31.3,76.3,80.9,5.5,39.1,3.3,106.3,30,107.7,cf,4
43.57,40.28,64.65,68.42,29.43,35.42,2.9,2.9,37.2,32.5,71.2,73,3.6,39.9,2.7,119.2,47.6,109.2,cf,4
43.28,39.91,64.57,68.33,30.09,35.39,2.7,3.1,37.2,32.5,71.2,73,3.7,39.9,2.8,118.8,47.8,110.1,cf,4
43.77,40.6,63.71,67.23,28.36,34.18,3.6,2.7,36.9,32.2,69.9,71,3.8,40.2,3.3,121.5,51.3,110.9,cf,4
43.69,40.48,63.91,67.43,28.71,34.32,3.2,3,37.2,32.5,69.9,71,3.2,40.1,3,120.4,50.8,110.9,cf,4
43.69,40.48,64.04,67.56,28.61,34.38,3,3,37.4,32.7,70.3,71.5,3.9,40.2,2.8,120.2,49.8,111.3,cf,4
43.69,40.48,64.12,67.64,28.65,34.42,3,2.8,37.4,32.7,70.3,71.5,4.1,40.2,2.6,120.2,49.3,111.3,cf,4
61.17,51.53,85.37,94.46,87.02,77.83,8.2,5.4,43.2,38.3,99.7,123.6,9.8,48.5,5.3,123.7,24,119,eo,1
60.97,51.04,85.49,94.91,88.96,80.94,8.3,5.9,42.8,37.9,100.7,125.6,10.5,47.7,4.8,124,23.5,119.2,eo,1
61.09,51.17,85.66,95.07,89.23,81.5,8.5,5.7,42.6,37.7,100.7,125.6,10.6,47.7,5.1,124.2,23.5,119.5,eo,1
61.17,51.21,85.7,95.15,90.08,82.03,8.5,5.7,42.6,37.7,100.7,126.1,10.4,47.7,5.1,124.7,24.3,119.2,eo,1
55.36,49,85.45,91.71,57.34,59.79,6.4,3.4,42.4,37.5,94.8,113.7,6.8,47.2,4.8,127.4,32.6,119.9,eo,1
55.32,48.96,85.53,91.71,57.5,59.59,6.4,3.1,42.4,37.5,94.5,113.2,6.8,47,4.6,127.4,32.4,120.2,eo,1
55.4,49.04,85.49,91.59,56.73,59.57,6.6,3.4,42.4,37.5,95,114.2,6.6,47,4.9,127.7,32.4,120.2,eo,1
55.44,49.08,85.49,91.63,57.11,59.54,6.6,3.1,42.3,37.4,94.5,113.2,6.8,47.2,4.8,127.7,32.9,120.2,eo,1
55.52,49.12,85.45,91.63,57.62,59.43,6.7,3.1,42.3,37.4,94.8,113.2,6.6,47.2,4.9,127.7,32.9,119.9,eo,1
55.64,49.2,85.49,91.63,57.46,59.54,7,3.4,42.3,37.4,95,114.2,6.8,47.2,4.9,127.9,33.1,120.2,eo,1
55.69,49.24,85.53,91.67,58.15,59.7,7.2,3.2,42.1,37.2,94.8,113.7,6.8,47.3,5,127.9,33.1,120.4,eo,1
53.97,50.76,85.53,88.85,28.79,42.7,6.7,2,44.1,39.3,90.5,105.2,4.5,50.1,6.1,146.9,56,124,eo,1
54.09,50.84,85.49,88.81,29.13,43.8,7.1,2.2,43.8,39,90.7,105.7,5,50.1,6.3,147.2,56.5,124,eo,1
54.09,50.8,85.57,88.89,29.54,44.12,6.6,1.8,44.3,39.5,90.7,105.7,5,50.3,6,146.5,55.8,124.2,eo,1
54.01,50.76,85.62,88.93,29.28,43.1,6.5,2,44.3,39.5,90.7,105.7,4.2,50.1,5.8,146.1,55.8,124.7,eo,1
53.97,50.63,85.66,88.97,29.76,43.2,6.2,2.1,44.3,39.6,90.2,104.7,3.9,50.1,5.7,146.5,56.3,125,eo,1
53.92,50.68,85.66,88.97,29.21,43.19,6.3,1.8,44.3,39.5,90.7,105.7,4.2,50.3,6.2,146.1,55.6,125.2,eo,1
60.76,50.8,75.62,85.04,89.7,69.65,9.3,5.8,41.5,36.6,90.7,105.7,9.7,47.2,5.7,114.5,24,120.9,eo,1
60.84,50.72,75.79,85.33,91.42,70.35,8.9,6.1,41.2,36.3,91,106.2,9.5,47,5.5,114.7,23.7,120.4,eo,1
60.84,50.68,75.83,85.41,91.11,70.78,9.4,6.1,41.2,36.3,91,106.2,9.8,47,5.6,114.7,23.9,119.7,eo,1
60.8,50.55,75.79,85.45,92.47,71.01,9.2,5.9,41.2,36.3,91,106.2,10,47,5.8,114.7,23.7,119.2,eo,1
60.72,50.55,75.83,85.45,91.26,71.2,9.2,5.9,41.2,36.3,91.2,106.7,9.8,46.8,5.6,114.9,23.7,118.8,eo,1
60.72,50.47,75.83,85.49,92.3,71.21,9.3,6.1,41,36.1,91.2,106.7,10,46.8,5.6,114.7,23.5,118.8,eo,1
60.68,50.43,75.83,85.49,92.35,71.17,9.1,6.1,41.2,36.3,91.2,106.7,10,46.8,5.6,114.7,23.5,118.3,eo,1
60.68,50.35,75.75,85.49,93.37,71.54,9.5,6.1,41.2,36.3,91.2,106.7,10.2,46.8,5.8,114.9,23.7,117.8,eo,1
56.46,50.14,76.2,82.3,56.85,50.99,7.6,3.5,42.4,37.5,85.5,96.3,6.3,48,5.8,119.2,33.7,116.9,eo,1
56.26,49.9,76.03,82.09,57.15,50.96,7.9,2.9,42.1,37.2,85.2,95.3,6.3,47.8,5.7,119,34,116.9,eo,1
52.74,49.98,75.83,78.69,24.77,35.87,6.5,1.5,43.5,38.7,80.1,86.9,3.3,49.6,6.1,142,61.9,119.7,eo,1
52.7,49.86,75.83,78.65,25.55,35.8,6.5,1.8,43.3,38.5,80.4,87.4,3.3,49.6,6.3,142.3,62.2,120.7,eo,1
53.06,50.27,75.83,78.61,25.21,35.39,6.9,2,43.5,38.7,80.4,87.4,3.4,50,6.5,144,63.9,123,eo,1
53.11,50.39,75.83,78.57,24.36,35.24,7.1,1.7,43.3,38.5,80.1,86.9,3.4,50.1,6.9,144.3,64.6,123.2,eo,1
58.43,49.82,69.36,77.38,77.32,55.94,8.8,4.8,40.8,35.9,81.8,89.9,7.4,46.8,5.8,109.6,27.8,119.7,eo,1
58.35,49.73,69.24,77.18,77.45,55.89,9.2,4.5,40.6,35.6,81.5,89.4,7.6,46.8,6.2,109.4,28.1,119,eo,1
58.02,49.49,68.95,76.89,77.02,55.63,8.7,4.7,40.6,35.8,81.5,89.4,7.7,46.6,5.8,109.2,27.7,117.1,eo,1
57.98,49.41,68.91,76.81,77.23,55.49,9.1,4.8,40.4,35.4,81.5,89.4,7.8,46.4,5.8,109,27.7,116.7,eo,1
57.9,49.36,68.87,76.81,76.04,55.56,8.7,4.6,40.6,35.6,81.3,88.9,7.8,46.6,6.2,109,27.7,116.4,eo,1
57.9,49.36,68.83,76.69,77.27,55.54,8.9,4.5,40.4,35.4,81,88.4,7.8,46.4,5.8,109,28,116,eo,1
56.05,49.94,65.59,71.28,55.12,42.87,9.3,3,40.8,35.8,74.1,77.5,5.8,47.7,6.9,110.7,36.8,114.7,eo,1
56.01,49.86,65.59,71.28,55.39,42.95,9.2,3.2,40.8,35.9,74.4,78,5.8,47.8,7,110.7,36.3,114.5,eo,1
56.05,49.86,65.59,71.28,55.74,42.91,9.2,3.6,40.8,35.9,74.7,78.4,6.3,47.7,7,110.7,35.8,114.5,eo,1
56.01,49.86,65.59,71.28,55.39,42.99,9,3.3,40.8,35.8,74.4,78,5.8,47.7,6.9,110.7,36.3,114.7,eo,1
56.05,49.86,65.59,71.28,55.49,43,9.2,3.6,40.8,35.9,74.7,78.4,6.1,47.8,7,110.7,35.8,114.7,eo,1
56.01,49.86,65.59,71.28,55.46,43.04,9.2,3.8,40.8,35.8,74.7,78.4,5.8,47.7,6.9,110.7,36.3,114.2,eo,1
56.01,49.82,65.55,71.24,55.37,42.97,9.2,3.5,40.8,35.9,74.4,78,5.8,47.8,6.8,110.7,36.5,114.5,eo,1
56.01,49.82,65.59,71.24,55.62,42.99,9.2,3.6,40.8,35.8,74.7,78.4,5.4,47.7,7,110.7,35.8,114.5,eo,1
53.43,49.9,63.14,66.49,31.72,33.32,7.7,1.7,42.3,37.4,68.1,68.5,3.3,49.1,6.8,122.7,54.9,115.6,eo,1
53.6,50.02,63.18,66.49,32,33.28,8,1.9,42.3,37.4,68.1,68.5,4,49.1,6.8,123.5,55.1,116,eo,1
53.52,49.82,63.3,66.7,33.27,33.78,8.6,2.1,41.2,36.3,68.8,69.5,4,49,7.8,123,54.2,116.4,eo,1
55.81,46.87,84.55,92.9,80.24,75.28,6.4,2.7,40.4,35.4,95.7,115.6,7.1,43.9,3.6,121.7,26,116.2,eo,1
55.77,46.74,84.67,93.11,80.56,75.87,6.3,3,40.3,35.3,96.2,116.6,7.3,44.1,3.8,122,25.8,116.4,eo,1
55.64,46.54,85.04,93.68,81.75,78.77,6.4,4.8,40,35,98.5,121.1,9.1,43.8,4,122.7,24,117.1,eo,1
51.3,45.15,85.41,91.35,55.26,60.4,5.3,3.1,39.8,34.8,94.3,112.7,6.5,43.4,3.9,126.8,32.8,118.3,eo,1
51.3,45.15,85.37,91.43,55.38,60.21,5.7,3.1,39.5,34.6,94.3,112.7,6.7,43.4,4,126.8,32.5,118.5,eo,1
51.02,44.82,85.33,91.35,55.45,60.04,5,3.1,39.8,34.8,94.3,112.7,6.3,43.2,3.7,126.3,32,118.3,eo,1
50.77,44.62,85.29,91.26,54.98,60,4.9,3.3,39.5,34.6,94.3,112.7,6.5,43,3.4,126,31.7,118.3,eo,1
50.85,44.7,85.37,91.43,55.3,60.09,5.2,3.1,39.4,34.5,94.3,112.7,6.3,43,3.5,126.3,32,118.3,eo,1
49.22,45.8,85.08,88.64,30.63,44.67,4.6,1.7,41.2,36.3,90.2,104.7,4.2,45.1,4.1,141,50.8,120.2,eo,1
49.01,45.6,85.16,88.73,30.57,44.67,4.4,2.2,41,36.3,90.5,105.2,4.5,45.1,3.7,140.7,50.2,120.9,eo,1
48.97,45.48,85.08,88.64,31.27,44.6,4.2,2,41.2,36.3,90.5,105.2,4.5,44.9,3.7,140.4,49.9,121.7,eo,1
48.93,45.48,85.08,88.64,31.02,44.63,4.1,2,41.5,36.6,90.5,105.2,4.7,44.9,3.4,140.4,49.7,122,eo,1
48.93,45.43,85.08,88.64,31.08,44.56,4.4,1.4,41,36.1,89.9,104.2,4.2,45.1,3.9,140.4,50.8,122.2,eo,1
48.93,45.43,85.04,88.6,31.16,44.56,4.2,1.6,41,36.3,90.5,105.2,4.2,44.9,3.7,140.4,50.2,122.5,eo,1
56.95,46.29,75.83,85.94,95.15,77.91,8,5.9,38.3,33.5,91.7,107.7,9.9,42.7,4.4,113.6,21.6,117.1,eo,1
57,46.17,75.95,86.19,97.04,79.58,7.3,6.4,38.6,33.8,92.2,109.2,10.2,42.5,4,113.8,21.6,116.4,eo,1
51.88,44.9,76.16,82.87,62.5,55.53,5.4,3.5,39.4,34.5,86,97.3,6.4,42.9,3.7,114.9,28.9,115.3,eo,1
51.8,44.78,76.16,82.91,62.74,55.58,5.6,3.6,39.2,34.3,86.3,97.8,6.3,42.9,3.7,114.9,28.4,115.1,eo,1
51.75,44.82,76.2,82.87,61.91,55.58,5.7,3.8,39.2,34.2,86.6,98.3,6.7,42.7,3.6,114.7,28.1,114.9,eo,1
51.71,44.82,76.12,82.79,62.28,55.4,5.7,3.5,39.1,34.2,86,97.3,6.4,42.7,3.6,114.9,28.6,114.9,eo,1
51.75,44.78,76.2,82.83,62.91,55.44,5.7,3,39.1,34.2,85.7,96.8,6.4,42.7,3.5,114.9,28.6,114.9,eo,1
51.75,44.82,76.16,82.79,62.23,55.5,5.7,3.3,39.1,34.2,86,97.3,6.6,42.9,3.8,114.7,28.7,114.7,eo,1
51.71,44.82,76.16,82.79,61.68,55.45,5.5,3.5,39.2,34.3,86,97.3,6.3,42.9,3.8,114.7,28.7,114.9,eo,1
51.71,44.78,76.2,82.83,62.5,55.39,5.6,3.3,39.1,34.3,86.3,97.8,6.6,42.9,3.7,114.9,28.6,114.7,eo,1
48.27,45.27,75.79,78.82,26.85,37.34,5,1.4,40.3,35.3,80.1,86.9,3.6,44.9,4.5,136.8,56.1,116.7,eo,1
48.15,45.15,75.83,78.82,26.9,37.37,4.7,1.4,40.4,35.4,80.1,86.9,3.6,44.9,4.5,136.8,56.1,117.4,eo,1
48.11,45.15,75.79,78.82,26.37,37.35,4.7,1.4,40.4,35.4,80.1,86.9,3.6,44.8,4.4,136.5,56.7,118.1,eo,1
48.03,45.02,75.79,78.78,27.09,37.3,4.5,1.4,40.4,35.4,80.1,86.9,3.6,44.8,4.4,136.8,56.7,118.5,eo,1
47.86,44.9,75.79,78.78,26.36,37.4,4.5,1.7,40.4,35.4,80.4,87.4,3.6,44.6,4.2,136.5,56.1,119.2,eo,1
47.78,44.82,75.79,78.82,26.45,37.34,4.5,1.4,40.4,35.4,80.1,86.9,3.6,44.4,4,136.5,56.4,119.9,eo,1
55.36,45.31,70.3,79.76,89.82,67.11,7.1,5.2,38.2,33.4,84.6,95.3,8.4,42.2,4,107.5,23.1,117.4,eo,1
55.07,45.11,70.06,79.39,88.74,66.37,7.3,5.4,37.6,32.9,84.6,94.8,8.3,41.7,4,107.3,23,116,eo,1
54.99,45.07,69.97,79.31,88.76,66.07,7.2,5.1,37.7,33,84.3,94.3,8.4,41.7,4,107.1,22.8,115.7,eo,1
54.99,45.02,69.93,79.23,89.36,66.32,7.5,4.9,37.4,32.7,84,93.8,8.1,41.7,4.1,107.1,23.1,115.1,eo,1
54.95,44.98,69.89,79.23,89.2,66.43,7.2,5.2,37.7,32.9,84,93.8,8.3,41.7,4.1,107.1,23.1,114.9,eo,1
54.91,44.94,69.81,79.14,89.53,66.23,7.2,4.9,37.7,33,84.6,93.8,8.9,41.5,4,107.1,22.3,114.5,eo,1
54.83,44.86,69.81,79.18,89.08,66.14,7.1,5.2,37.7,33,84.3,94.3,8.7,41.7,4.1,106.7,22.1,114,eo,1
51.47,44.86,66.62,72.92,58.92,46.65,5.9,3.5,38.9,34,76,80.4,5.6,42.9,4,107.1,30.9,112.9,eo,1
51.43,44.86,66.45,72.67,58.82,46.18,5.5,3.4,39.1,34.2,75.7,79.9,5.4,43,3.8,106.9,31,112.9,eo,1
51.47,45.07,66.37,72.47,57.43,45.8,6.9,3.3,38.3,33.5,75.3,79.4,5.5,42.7,4.5,107.1,31.8,112.7,eo,1
51.59,45.15,66.33,72.39,58.13,46.12,6.8,3.8,38.2,33.5,75.7,79.9,5.9,43,4.7,107.5,31.8,112.7,eo,1
51.59,45.07,66.41,72.47,58.34,46.13,6.6,3.5,38.3,33.5,75.7,79.9,5.9,43,4.7,107.3,31.6,112.2,eo,1
51.59,45.07,66.41,72.55,58.23,46.25,6.6,3.8,38.3,33.5,76,80.4,6,43,4.7,107.5,31.5,112.4,eo,1
51.59,45.07,66.45,72.51,58.77,46.18,6.8,3.1,38.3,33.5,75.3,79.4,5.7,43,4.7,107.3,31.6,112.2,eo,1
48.6,44.98,66.53,70.14,32.25,35.63,4.9,2.1,39.8,35,72.2,74.5,3.9,44.4,4.3,122,49.8,113.6,eo,1
48.48,44.86,66.53,70.14,32.48,35.61,5.1,2.2,39.8,34.8,72.2,74.5,3.6,44.3,4.3,122,49.8,114,eo,1
48.56,45.07,66.37,69.81,31.44,34.93,5.7,1.7,39.4,34.5,71.2,73,3.3,44.6,5.2,123.7,52.5,115.1,eo,1
48.56,45.15,66.41,69.81,30.43,34.97,5.7,2.1,39.4,34.5,71.6,73.5,3.7,44.6,5,123.7,52.4,115.3,eo,1
49.54,40.68,80.29,88.85,79.49,72.97,4.3,4.7,36.2,31.6,93.2,110.7,8.1,38.7,2.4,115.7,22.5,114.2,eo,1
49.5,40.64,80.33,88.85,79.34,72.94,4.1,4.2,36.3,31.7,92.7,109.7,8.1,38.7,2.4,115.7,23,114.2,eo,1
49.46,40.6,80.33,88.89,79.32,73.09,4.3,4.5,36.3,31.7,93,110.2,8.3,38.7,2.5,116,23,114.2,eo,1
49.42,40.56,80.29,88.85,79.34,73.09,4.1,4.7,36.3,31.7,93.2,110.7,8.1,38.7,2.5,116,22.5,114.5,eo,1
47.46,41.42,81.03,86.88,54.12,57.52,4.5,3.3,36.7,32.1,89.9,104.2,6.1,39.9,3.4,120.9,31,114.7,eo,1
47.46,41.3,81.11,87.13,55.17,57.9,4.7,3.2,36.5,31.9,90.2,104.7,6,39.9,3.3,120.9,30.7,114.7,eo,1
47.13,41.01,81.07,87.09,54.72,57.7,4.2,3.1,36.7,32.1,89.9,104.2,6,39.8,3.1,120.7,30.5,114.9,eo,1
47.09,40.97,81.07,87.09,55.13,57.56,4,3.4,36.7,32.1,90.2,104.7,6.3,39.8,3.1,120.4,30.2,114.7,eo,1
47.05,40.89,81.11,87.09,54.62,57.63,4,3.3,36.7,32.1,89.9,104.2,5.7,39.8,2.9,120.7,30.8,114.9,eo,1
47,40.89,81.11,87.13,54.68,57.63,4,3.1,36.7,32.1,90.2,104.2,6,39.6,2.9,120.4,30.2,114.9,eo,1
44.67,41.22,80.74,84.34,30.83,44.22,3.3,1.7,37.7,33,86,97.3,4.2,40.5,2.8,133.5,47.8,116.9,eo,1
44.63,41.13,80.87,84.55,31.42,44.42,3.2,2.1,37.6,33,86.3,97.8,4.3,40.5,2.8,133.5,46.9,117.6,eo,1
44.55,41.05,80.78,84.51,31.27,44.49,3.3,2,37.6,32.9,86.3,97.8,4.4,40.5,2.8,133.5,46.9,117.6,eo,1
44.47,41.01,80.91,84.63,30.88,44.65,3,1.9,37.7,33,86.6,98.3,4.4,40.5,2.5,133.2,46.6,118.1,eo,1
44.43,40.93,80.99,84.71,31.34,43.98,2.9,1.8,38,33.2,86.3,97.8,4.6,40.5,2.5,133.2,46.9,117.8,eo,1
52.04,41.59,70.3,80.17,93.47,72.24,6.2,5.7,35.3,30.8,85.7,96.8,8.9,38.7,3.3,106.9,20.7,114.5,eo,1
51.47,40.56,70.51,80.82,97.41,76.15,5.1,5.9,35.3,30.8,86.6,98.3,9.3,37.8,2.5,107.1,20.5,112.9,eo,1
46.39,39.91,70.92,77.1,58.01,51.25,4.6,3.3,35.4,30.8,80.4,87.4,6.1,38.4,3.1,109.2,28.8,111.3,eo,1
46.47,39.87,71.08,77.3,59.16,51.78,4.4,3.7,35.4,30.9,80.7,88.4,6,38.4,3,108.8,28.5,111.3,eo,1
46.39,39.87,71.16,77.42,58.6,51.37,4.2,3.1,35.6,31.1,80.4,87.4,5.8,38.4,3,109.2,28.3,111.3,eo,1
46.39,39.78,71.16,77.42,58.84,51.44,4,3.5,35.8,31.3,81,88.4,6.3,38.5,3.1,109,28,111.3,eo,1
46.35,39.74,71.16,77.47,59.15,51.49,4.2,3.7,35.6,31.1,81,88.4,6,38.4,2.8,109,28,111.1,eo,1
43.32,40.11,71,74.35,28.86,36.79,2.5,1.4,37.6,32.9,75.7,79.9,3.5,40.1,2.5,124.7,49,113.8,eo,1
43.4,40.28,70.96,74.27,28.08,36.81,2.4,1.6,37.7,33,75.7,79.9,3.7,40.1,2.4,125.2,49.2,114,eo,1
43.52,40.36,70.96,74.27,28.48,37.37,2.9,1.9,37.2,32.5,76.3,80.9,4.1,40.1,2.7,125.7,49.2,114.7,eo,1
43.44,40.15,71.12,74.48,29.54,37.31,3,1.9,37.1,32.4,76.3,80.9,3.5,39.9,2.8,125.2,49.2,114.9,eo,1
43.4,40.19,71.12,74.48,28.94,37.23,3.2,1.9,37.1,32.2,76,80.4,3.5,39.9,3,125.5,49.5,115.1,eo,1
43.48,40.28,71.12,74.48,28.73,37.31,3.1,1.9,37.1,32.4,76.3,80.9,3.8,39.9,2.7,125.5,49.4,115.3,eo,1
43.52,40.28,71.2,74.52,29.25,37.4,2.9,2.2,37.2,32.5,76.6,81.4,3.5,40.1,2.9,125.5,49.5,115.6,eo,1
43.52,40.28,71.2,74.56,29.13,37.38,3,1.7,37.2,32.5,76.3,80.9,3.9,40.1,2.7,125.2,48.9,115.7,eo,1
51.02,41.38,66.86,75.91,86.93,62.84,5.6,5.4,35.6,31.1,81.3,88.9,8.2,38.9,3.3,103.3,22.2,114,eo,1
50.98,41.34,66.94,75.95,86.4,63.22,5.4,5.1,35.6,31.1,81,88.4,7.7,38.9,3.3,103.3,22.5,113.6,eo,1
50.98,41.3,66.9,75.95,86.66,63.38,5.9,5.1,35.4,30.8,81,88.4,8,38.7,3.4,103.3,22.5,113.1,eo,1
50.85,41.18,66.82,75.91,87.12,63.5,5.7,5,35.3,30.8,80.7,87.9,8,38.7,3.4,103.1,22.6,112.4,eo,1
50.77,41.13,66.7,75.79,86.24,63.49,5.8,4.8,35.1,30.6,80.4,87.4,8.2,38.5,3.1,103.1,22.7,112.2,eo,1
50.53,40.89,66.33,75.42,86.2,62.9,5.6,5.2,35.1,30.6,80.1,86.9,7.8,38.4,3.1,102.7,22.6,111.3,eo,1
47.13,40.44,65.39,71.81,60.15,47.51,3.7,3.8,36.5,31.9,75.3,79.4,6.3,39.2,2.7,103.7,28.4,110.5,eo,1
46.88,40.19,65.31,71.73,59.73,47.55,3.6,3.9,36.3,31.7,75.3,79.4,6.6,39.1,2.8,103.3,28.2,110.5,eo,1
46.76,40.07,65.22,71.65,60.22,47.46,3.6,3.6,36.3,31.7,75,78.9,6.4,38.7,2.5,103.3,28.3,110.3,eo,1
